GENE	TCGA-OR-A5J1	TCGA-OR-A5J2	TCGA-OR-A5J3
AMMECR1	203.1700	260.5019	385.7206
AMN1	427.9539	425.1777	303.3625
AMN	258.4054	2.4158	0.5925
AMOTL1	953.8905	1476.4456	218.0418
AMOTL2	318.9241	845.9264	786.8464
AMOT	225.7445	424.3724	232.8544
AMPD1	0.0000	0.8053	0.0000
AMPD2	1571.0855	1607.3005	1497.2597
AMPD3	163.7848	332.9753	347.2078
AMPH	17.2911	3.6237	3.5550
AMTN	0.0000	0.0000	0.0000
AMT	39.9520	962.1779	43.2529
AMY1A	2.8818	0.0000	0.5925
AMY2A	2.8818	0.4026	1.7775
AMY2B	168.2805	17.3131	200.2311
AMZ1	0.9606	2.0132	45.0304
AMZ2P1	362.6321	151.3890	141.0161
AMZ2	2085.9750	1140.2492	953.3402
ANAPC10	103.7464	90.9945	97.7633
ANAPC11	2526.8972	826.1975	1486.0021
ANAPC13	2300.1297	2499.3925	1698.7587
ANAPC16	3891.4505	4494.5630	2739.1498
ANAPC1	280.9798	752.5162	277.2923
ANAPC2	874.1595	794.7924	1033.3284
ANAPC4	437.5600	379.2778	263.6646
ANAPC5	2640.2498	4280.7662	4063.9905
ANAPC7	1357.3487	1641.5241	1397.1264
ANGEL1	573.4870	672.7954	1356.8360
ANGEL2	535.0624	700.1742	411.1983
ANGPT1	25.9366	131.2575	174.1964
ANGPT2	292.5072	762.5819	943.8602
ANGPT4	1.4409	0.4026	6.5176
